genre_id,genre_name
1251,Отечественное-фэнтези
1252,Фэнтези-про-драконов
1253,Эротическое-фэнтези
1254,Юмористическое-фэнтези
1255,Эзотерика
1256,Астрология
1257,Гадание-толкование-снов
1259,Йога
126,Детективы
1260,Магия-колдовство
1261,Парапсихология
1262,Практическая-эзотерика
1263,Современные-религиозные-течения
1264,Спиритизм-пророчества-и-предсказания
1265,Таинственные-явления
1266,Тайные-общества
1267,Фэн-шуй
1268,Эзотерика-оккультизм
1269,Эротика-и-секс
127,Зарубежные-детективы
1270,Сексуальные-руководства
1271,UNKNOWN_GENRE_1271
1272,Эротическая-литература
1273,Эротические-рассказы-и-истории
1276,Юмористическая-литература
1277,Анекдоты
1279,Юмор-и-сатира
128,Иронические-детективы
1280,Юмористическая-проза
1281,Юмористические-стихи
1282,Учебная-литература
1284,Русская-литература
129,Исторические-детективы
13,Мотивация
130,Классические-детективы
1306,Отечественные-любовные-романы
1308,Историческая-отечественная-проза
1309,Отечественные-детективы
131,Крутой-детектив
1310,Отечественный-мужской-детектив
1311,Отечественный-женский-детектив
1312,Современный-отечественный-детектив
1313,Классический-отечественный-детектив
1314,Отечественная-фантастика
1315,Отечественный-боевик
1316,Отечественная-поэзия
1317,Отечественная-драматургия
1318,Русская-литература-для-детей
1319,Сказки-отечественных-писателей
132,Политические-детективы
1320,Отечественная-проза-для-детей
1321,Отечественная-поэзия-для-детей
1322,Русская-классика-для-детей
1323,Отечественные-мемуары
1324,Отечественный-юмор-и-сатира
1325,Индуизм
1326,Исторический-роман
1327,Магический-реализм
1328,Космонавтика
133,Полицейские-детективы
1330,ЛитРПГ
1333,Реализм
1336,Темное-фэнтези
134,Современные-детективы
1342,Артбуки
1345,Альтернативная-история
1348,Ретро-детектив
1351,Притчи
1352,Мифологическое-фэнтези
1354,Утопия
1356,Уютный-детектив
1358,Технофэнтези
136,Шпионские-детективы
1360,Антиутопия
1363,Манга
1366,Манхва
137,Детские-книги
1372,Комиксы
1375,Графические-романы
1378,OEL-манга
138,Буквари
1381,Маньхуа
1384,Психологический-роман
1388,Славянское-фэнтези
139,UNKNOWN_GENRE_139
1391,Ориентальное-фэнтези
1393,Вебтун
14,Поиск-и-подбор-персонала
140,Детская-познавательная-и-развивающая-литература
141,Детская-проза
142,Детская-фантастика
143,Детские-детективы
144,Детские-приключения
145,Детские-стихи
146,Зарубежные-детские-книги
147,UNKNOWN_GENRE_147
148,Книги-для-дошкольников
149,Книги-для-подростков
150,Сказки
151,Прочая-учебная-литература
152,Школьные-учебники
154,Гиа-по-биологии-огэ-гвэ
155,Гиа-по-географии-огэ-гвэ
156,Гиа-по-иностранному-языку-огэ-гвэ
157,Гиа-по-информатике-и-икт-огэ-гвэ
158,Гиа-по-истории-огэ-гвэ
16,Управление-персоналом
160,Гиа-по-математике-огэ-гвэ
161,Гиа-по-обществознанию-огэ-гвэ
162,Гиа-по-русскому-языку-огэ-гвэ
165,Егэ
166,Егэ-по-биологии
167,Егэ-по-географии
168,Егэ-по-иностранному-языку
17,Корпоративная-культура
171,Егэ-по-литературе
172,Егэ-по-математике
173,Егэ-по-обществознанию
174,Егэ-по-русскому-языку
175,Егэ-по-физике
177,Литература-для-внеклассного-чтения
179,Список-школьной-литературы-10-11-класс
18,Личная-эффективность
181,Список-школьной-литературы-7-8-класс
185,Иностранный-язык-1-класс
187,Математика-1-класс
189,Окружающий-мир-1-класс
19,Личные-финансы
190,Русский-язык-1-класс
194,Чтение-1-класс
2,Банковское-дело
20,Логистика
202,Информатика-10-класс
209,Русский-язык-10-класс
21,Малый-бизнес
22,Маркетинг-pr-реклама
224,История-11-класс
229,Русский-язык-11-класс
23,Pr
238,Иностранный-язык-2-класс
240,Математика-2-класс
243,Русский-язык-2-класс
246,Чтение-2-класс
249,Иностранный-язык-3-класс
25,Брендинг
251,Математика-3-класс
253,Окружающий-мир-3-класс
254,Русский-язык-3-класс
257,Чтение-3-класс
260,Иностранный-язык-4-класс
262,Математика-4-класс
264,Окружающий-мир-4-класс
266,Русский-язык-4-класс
269,Чтение-4-класс
27,Интернет-маркетинг
275,История-5-класс
278,Музыка-5-класс
3,Бухучет-налогообложение-аудит
30,Клиентский-сервис
300,Алгебра-7-класс
307,История-7-класс
31,Копирайтинг
314,Физика-7-класс
318,Алгебра-8-класс
33,Маркетинг-для-новичков
35,Отношения-с-клиентами
354,Учебные-программы
355,Школьные-методические-пособия
357,Школьные-учебники-по-английскому-языку
358,Школьные-учебники-по-биологии
359,Школьные-учебники-по-географии
361,Школьные-учебники-по-естествознанию
362,Школьные-учебники-по-изобразительному-искусству-изо
363,Школьные-учебники-по-информатике
364,Школьные-учебники-по-истории
366,Школьные-учебники-по-литературе
367,Школьные-учебники-по-математике
368,Школьные-учебники-по-мировой-художественной-культуре-мхк
369,Школьные-учебники-по-музыке
37,Привлечение-клиентов
370,Школьные-учебники-по-немецкому-языку
371,Школьные-учебники-по-обществознанию
372,Школьные-учебники-по-окружающему-миру
373,Школьные-учебники-по-основам-безопасности-жизнедеятельности-обж
375,Школьные-учебники-по-правоведению
377,Школьные-учебники-по-русскому-языку
378,Школьные-учебники-по-технологии
379,Школьные-учебники-по-физике
38,Реклама
380,Школьные-учебники-по-физической-культуре
381,Школьные-учебники-по-французскому-языку
382,Школьные-учебники-по-химии
383,Школьные-учебники-по-черчению
386,Школьные-учебники-по-экологии
387,Дом-семья-хобби-и-досуг
388,Автомобили-и-пдд
389,Воспитание-детей
390,Домашние-животные
391,Зарубежная-прикладная-литература
392,Изобразительное-искусство
393,Интерьеры
394,Искусство-фотографии
395,Кулинария
396,Мода-и-стиль
397,Отдых-туризм
398,Охота
399,Прикладная-литература
4,Государственное-и-муниципальное-управление
40,Стратегия-маркетинга
400,Природа-и-животные
401,Развлечения
402,Рукоделие-ремесла
403,Рыбалка
404,Сад-и-огород
405,Самосовершенствование
406,Сделай-сам
407,Спорт-фитнес
408,Хобби-увлечения
409,Зарубежная-литература
411,Зарубежная-драматургия
412,Зарубежная-классика
413,Зарубежная-компьютерная-литература
414,Зарубежная-литература-о-культуре-и-искусстве
415,Зарубежная-образовательная-литература
416,Зарубежная-поэзия
418,Зарубежная-психология
419,Зарубежная-публицистика
420,Зарубежная-религиозная-и-эзотерическая-литература
421,Зарубежная-религиозная-литература
422,Зарубежная-справочная-литература
423,Зарубежная-старинная-литература
424,Зарубежная-фантастика
425,Зарубежная-эзотерическая-литература
426,Зарубежное-фэнтези
43,Менеджмент
430,Зарубежные-любовные-романы
431,Зарубежные-приключения
432,Зарубежный-юмор
433,Современная-зарубежная-литература
434,Классическая-литература
435,Античная-литература
436,Древневосточная-литература
437,Древнерусская-литература
438,Европейская-старинная-литература
44,Mba
441,Классическая-проза
442,Литература-18-века
443,Литература-19-века
444,Литература-20-века
445,Мифы-легенды-эпос
446,Русская-классика
447,Советская-литература
448,Старинная-литература
449,Фольклор
45,Project-менеджмент
450,Книги-на-иностранных-языках
451,Книги-на-английском
459,Книги-по-психологии
46,Бизнес-процессы
460,Возрастная-психология
461,Детская-психология
463,История-психологии
464,Классики-психологии
465,Общая-психология
466,Основы-психологии
467,Отраслевая-психология
468,Практическая-психология
469,Клиническая-психология
47,Классика-менеджмента
470,Нлп
471,Психоанализ
472,Психологическая-консультация
473,Психологическая-практика
474,Психологические-тренинги
475,Психотерапия
476,Транзакционный-анализ
477,Прикладная-психология
478,Нейропсихология
479,О-психологии-популярно
48,Кризисное-управление
480,UNKNOWN_GENRE_480
481,Статистика-в-психологии
483,Психология-управления
484,Развитие-психики
485,Саморазвитие-личностный-рост
486,Семья-брак-сексология
487,Состояния-и-явления-психики
488,Социальная-психология
489,Соционика
49,Лидерство
490,Компьютерная-литература
491,Базы-данных
493,Интернет
494,Книги-о-компьютерах
495,Компьютерная-справочная-литература
496,Компьютерное-железо
497,Ос-и-сети
498,Программирование
499,Программы
5,Делопроизводство
50,Организационный-менеджмент
500,Красота-и-здоровье
501,Альтернативная-медицина
502,Здоровое-и-правильное-питание
503,Здоровье
504,Косметика-и-косметология
505,Народная-и-нетрадиционная-медицина
507,Похудение-и-диеты
508,Прически-уход-за-волосами
510,Культура-и-искусство
511,Архитектура
512,Дизайн
516,Искусствоведение
517,История-искусств
518,Кинематограф-театр
519,Критика
52,Стратегический-менеджмент
520,Музеи-и-коллекции
521,Музыка
522,Ноты
523,Опера-балет
524,Танцы
525,Телевидение
526,Цирк
527,Любовные-романы
529,Исторические-любовные-романы
53,Управление-бизнесом
530,Короткие-любовные-романы
531,Любовно-фантастические-романы
532,Остросюжетные-любовные-романы
533,Современные-любовные-романы
534,Эротические-романы
535,Наука-и-образование
536,Военное-дело
537,Гуманитарные-и-общественные-науки
538,Иностранные-языки
539,Английский-язык
54,Управление-качеством
541,Испанский-язык
542,Итальянский-язык
543,Немецкий-язык
544,Польский-язык
545,Русский-язык-как-иностранный
546,Французский-язык
547,История
548,Археология
549,Всемирная-история
550,История-древнего-мира
551,История-россии
552,История-средних-веков
553,Источниковедение
554,Новейшая-история
555,Новое-время
556,Общая-история
557,Первобытное-общество
559,Этнография
56,Финансовый-менеджмент
58,Менеджмент-и-кадры
581,Психологические-тесты
59,Недвижимость
591,Культура-и-просвещение
592,Архивное-дело
593,Библиография
594,Издательское-дело
595,Музейное-дело
596,Памятники-истории-и-культуры
597,Сми
598,Социокультурная-деятельность
599,Физкультура-и-спорт
6,Зарубежная-деловая-литература
60,О-бизнесе-популярно
600,Культурология
601,Педагогика
602,Политика
603,Внешняя-политика
604,Внутренняя-политика
605,История-политических-учений
606,Национальная-политика
609,Политология
61,Бизнес-план
610,Современное-политическое-положение
611,Социология
612,Филология
613,Литературоведение
615,Языкознание
616,Философия
617,История-философии
618,Книги-по-философии
619,Логика
62,Бизнес-стратегии
620,Метафизика
621,Социальная-философия
622,Эстетика
623,Этика
64,Инновации-в-бизнесе
641,Юридическая-литература
642,Адвокатура
643,Административное-право
646,Военное-право
647,Гражданское-право
648,Гражданское-процессуальное-право
649,Законы-нормативные-акты
65,Истории-успеха
650,Документы-жалобы-образцы
651,Законы-и-постановления
652,Конституция-и-кодексы-рф
653,Арбитражный-процессуальный-кодекс-рф
654,Бюджетный-кодекс-рф
655,Гражданский-кодекс-рф
656,Гражданский-процессуальный-кодекс-рф
657,Жилищный-кодекс-рф
658,Земельный-кодекс-рф
660,Налоговый-кодекс-рф
662,Семейный-кодекс-рф
663,Таможенный-кодекс-рф
664,Трудовой-кодекс-рф
667,Уголовный-кодекс-рф
668,Нормативно-правовые-акты
669,Земельное-право
67,Креатив-идеи
670,История-права
671,Коммерческое-право
672,Конституционное-право
673,Криминалистика
674,Криминология
675,Международное-право
676,Муниципальное-право
678,Органы-юстиции
679,Правоведение
680,Предпринимательское-право
681,Семейное-право
682,Страховое-право
683,Судебное-право
684,Таможенное-право
685,Теория-государства-и-права
686,Трудовое-право
688,Уголовно-процессуальное-право
689,Уголовное-право
690,Финансовое-право
691,Юриспруденция
692,Естественные-науки
693,Астрономия
694,Биология
695,Анатомия-и-физиология
696,Антропология
698,Ботаника
699,Вирусология
7,Интернет-бизнес
70,Просто-о-бизнесе
700,Генетика
701,Зоология
702,Микробиология
703,Нейробиология
704,Общая-биология
705,Палеонтология
706,Естествознание
707,Математика
708,Механика
709,Науки-о-земле
710,География
711,Геодезия
712,Геология
713,Физика
714,Химия
715,Аналитическая-химия
718,Общая-химия
719,Органическая-химия
72,Российская-практика
720,Фармация
723,Экология
724,Задачники
726,Медицина-здравоохранение
727,Акушерство-и-гинекология
732,Гастроэнтерология
734,Геронтология
735,Гигиена
736,Дерматология
737,Кардиология
738,Клиническая-медицина
739,Медицина
74,Советы-от-гуру
741,Наркология
742,Неврология
745,Онкология
746,Ортопедия-и-травматология
747,Офтальмология
748,Паразитология
749,Педиатрия-и-неонатология
75,Эффективность-бизнеса
750,Прикладные-отрасли-медицины
751,Психиатрия
752,Реаниматология
753,Стоматология
754,Токсикология
756,Урология-и-нефрология
757,Фармакология
76,Ораторское-искусство-риторика
760,Хирургия
761,Эндокринология
763,Методички-учебно-методические-пособия
764,Монографии
765,Научно-популярная-литература
766,Научные-труды
767,Авторефераты-диссертаций
77,Отраслевые-издания
770,Практикумы
771,Прочая-образовательная-литература
772,Сельское-и-лесное-хозяйство
774,Ветеринария
775,Животноводство
778,Растениеводство
78,Переговоры
780,Технические-науки
781,Горное-дело
784,Информатика-и-вычислительная-техника
785,Конструкции
786,Легкая-промышленность
787,Материаловедение
788,Машиностроение
79,Поиск-работы-карьера
790,Общетехнические-дисциплины
792,Пищевая-промышленность
8,Кадровый-менеджмент
80,Политическое-управление
802,Пищевое-производство
81,Продажи
813,Проектирование
814,Промышленность
815,Радиоэлектроника
816,Автоматика-и-телемеханика
818,Кибернетика
820,Радиотехника
823,Электроника
824,Строительство
825,Архитектурные-конструкции
829,Проектирование-в-строительстве
83,Техника-продаж
830,Строительные-конструкции
831,Строительные-материалы
833,Техническая-литература
836,Металлургия
838,Транспорт
839,Автотранспорт
84,Управление-продажами
840,Водный-транспорт
841,Воздушный-транспорт
842,Городской-транспорт
843,Железнодорожный-транспорт
844,Космический-транспорт
845,Промышленный-транспорт
85,Успешные-переговоры
851,Эксплуатация-промышленного-оборудования
852,Энергетика
859,Учебники-и-пособия-для-вузов
86,Холодные-продажи
87,Эффективная-презентация
88,Работа-с-клиентами
89,Стартапы-и-создание-бизнеса
90,Тайм-менеджмент
91,Финансы
92,Forex
94,Бюджетирование
95,Корпоративные-финансы
97,Риски
98,Технический-анализ
99,Трейдинг
